Age_Group,Gender,Occupation,Income,Shopping_Frequency,Platform,Monthly_Spend,Style,Struggle_Outfits,Occasion_Issue,Body_Fit_Issue,Lack_Inspiration,Budget_Issue,AI_Outfit_Interest,Virtual_TryOn_Interest,Wardrobe_Feature,MixMatch_Feature,AI_Chat,Budget_Feature,Privacy_Comfort,Purchase_Driver,Outfit_Budget,Subscription_Amount,Adoption
22-25,Female,Student,50000-100000,2-3 months,Online,12734.946,Casual,1,1,1,1,1,1,1,0,1,1,0,Medium,Trend,600,226.59133,Yes
22-25,Female,Working Professional,100000,Monthly,Mixed,4174.7149,Casual,0,0,1,0,0,0,1,0,1,0,0,Medium,Trend,300,50,Maybe
22-25,Female,Working Professional,20000-50000,Rarely,Online,2538.3737,Casual,1,1,1,1,0,1,0,1,1,0,0,Medium,Brand,898.53164,513.83035,Maybe
22-25,Female,Working Professional,20000-50000,2-3 months,Online,4490.5835,Experimental,1,1,1,0,0,0,0,1,1,0,0,Medium,Recommendation,559.00468,425.89155,Maybe
22-25,Female,Working Professional,100000,2-3 months,Offline,1514.9983,Casual,1,0,0,0,1,1,0,1,1,1,1,Medium,Recommendation,2898.1456,280.41612,Maybe
26-30,Male,Working Professional,20000-50000,2-3 months,Online,2110.1826,Formal,1,1,1,1,0,1,0,0,1,0,0,High,Trend,5407.1738,165.79005,Maybe
22-25,Non-binary,Student,20000-50000,Monthly,Mixed,5291.5953,Experimental,1,1,0,0,0,1,1,1,1,1,0,Low,Trend,3693.6649,312.75369,Yes
22-25,Female,Student,20000-50000,Weekly,Mixed,1968.6735,Formal,0,1,0,1,1,0,1,1,1,0,1,High,Recommendation,807.65373,354.14832,No
22-25,Male,Self-employed,<20000,Monthly,Online,5076.4232,Experimental,1,1,1,1,0,1,1,1,1,1,1,Low,Brand,1458.4364,415.50177,Yes
22-25,Male,Working Professional,20000-50000,Monthly,Online,1261.0725,Trendy,1,0,1,0,0,1,1,1,1,0,0,Low,Fit,1751.064,429.33332,Yes
30,Male,Working Professional,100000,2-3 months,Online,7529.6518,Trendy,0,0,0,1,0,1,1,0,0,1,1,High,Recommendation,3083.8213,457.60145,Yes
26-30,Female,Working Professional,50000-100000,Monthly,Offline,2451.4602,Trendy,1,0,1,1,1,1,0,1,1,1,0,Low,Trend,4856.8821,50,Maybe
18-21,Female,Working Professional,20000-50000,Monthly,Online,3552.6669,Trendy,1,1,0,0,0,1,1,1,1,1,0,Low,Brand,1798.8994,254.30352,Yes
30,Female,Self-employed,100000,Monthly,Instagram,4661.2265,Experimental,0,0,0,1,1,0,1,0,1,0,0,Low,Brand,4808.1659,448.96512,Maybe
22-25,Male,Working Professional,<20000,Weekly,Offline,2869.3001,Casual,1,0,0,0,1,0,1,1,0,1,1,Medium,Trend,5655.8664,161.45524,Maybe
30,Male,Working Professional,20000-50000,2-3 months,Online,4286.8119,Minimal,1,0,1,0,1,1,1,1,1,1,1,Low,Price,1975.1397,482.89014,Yes
26-30,Female,Working Professional,20000-50000,2-3 months,Online,5150.7134,Minimal,1,0,1,0,0,1,0,0,1,0,1,Medium,Brand,1936.5331,571.55664,Yes
22-25,Female,Student,50000-100000,Weekly,Instagram,5921.2265,Trendy,1,1,1,1,1,1,1,0,0,0,0,Low,Recommendation,1959.0709,478.68815,Yes
18-21,Male,Student,<20000,Monthly,Online,5582.9949,Casual,1,1,0,1,0,1,1,1,1,1,0,Medium,Price,2593.735,399.23856,Yes
22-25,Male,Working Professional,20000-50000,Monthly,Mixed,3656.3791,Formal,1,0,1,0,0,1,0,0,1,0,0,Low,Fit,1962.7314,232.87407,Yes
22-25,Non-binary,Student,50000-100000,Weekly,Online,3706.7365,Casual,0,1,0,0,0,1,1,0,1,0,1,Medium,Recommendation,3826.2662,342.24522,Yes
26-30,Male,Working Professional,50000-100000,Weekly,Offline,8698.2171,Formal,0,1,1,1,1,0,1,1,0,1,0,Medium,Trend,300,98.085803,Maybe
22-25,Female,Self-employed,50000-100000,Rarely,Mixed,5899.7781,Minimal,0,1,1,1,1,1,1,0,1,0,0,Low,Price,1698.0669,182.8334,Yes
18-21,Female,Working Professional,20000-50000,Monthly,Mixed,2156.3527,Casual,0,1,0,1,1,1,1,1,1,1,0,Medium,Recommendation,2993.762,193.37948,Maybe
26-30,Male,Working Professional,<20000,Monthly,Online,4199.9763,Casual,0,1,1,0,1,1,1,0,1,1,1,High,Brand,3805.1268,309.29589,Yes
30,Female,Self-employed,20000-50000,Weekly,Online,3329.7137,Minimal,1,0,1,0,1,1,1,1,1,0,0,High,Trend,5792.9276,241.17341,Yes
22-25,Female,Working Professional,<20000,2-3 months,Instagram,3729.3315,Casual,1,1,0,1,1,1,1,0,1,0,0,Low,Price,566.46216,339.23999,Yes
18-21,Male,Working Professional,100000,2-3 months,Online,1541.0097,Formal,0,1,1,0,1,0,1,0,0,0,0,Low,Brand,1521.9364,431.67402,No
22-25,Female,Working Professional,20000-50000,2-3 months,Online,3176.1535,Casual,0,0,1,0,0,1,0,1,0,1,1,Medium,Trend,300,193.54087,Maybe
18-21,Male,Self-employed,20000-50000,Weekly,Mixed,7623.1115,Formal,0,0,0,1,0,1,1,0,1,1,1,Low,Trend,835.19649,322.29016,Yes
30,Female,Working Professional,50000-100000,2-3 months,Online,5158.1526,Trendy,1,1,1,1,0,1,0,1,1,1,1,High,Price,300,237.60465,Yes
18-21,Non-binary,Working Professional,20000-50000,Monthly,Online,500,Casual,0,1,1,1,0,1,1,1,0,1,0,High,Price,1718.0539,328.52437,Maybe
22-25,Female,Working Professional,20000-50000,Monthly,Online,6433.447,Formal,1,1,0,0,1,0,0,1,1,1,1,Medium,Price,2157.4516,402.92589,Maybe
22-25,Female,Working Professional,50000-100000,Monthly,Offline,6179.259,Minimal,1,1,0,1,1,1,1,0,1,1,0,High,Recommendation,3204.1814,438.18537,Yes
22-25,Male,Working Professional,100000,Monthly,Offline,3281.4294,Trendy,1,1,1,1,1,1,1,1,1,1,0,High,Trend,2052.1007,400.54562,Yes
26-30,Female,Working Professional,50000-100000,2-3 months,Online,5434.5271,Casual,1,0,1,1,0,0,1,1,1,0,1,Medium,Fit,3204.9056,362.09784,Yes
26-30,Male,Working Professional,<20000,Rarely,Online,2281.2016,Formal,0,1,0,0,0,1,1,0,1,0,1,High,Brand,2671.1113,86.968009,Maybe
18-21,Male,Working Professional,20000-50000,Monthly,Online,3059.4886,Casual,0,1,0,1,0,1,1,0,0,1,0,Medium,Price,950.01519,137.81011,Yes
18-21,Female,Self-employed,50000-100000,2-3 months,Offline,6997.0927,Formal,0,1,1,1,0,1,1,1,1,1,1,High,Trend,300,176.37326,Yes
18-21,Female,Working Professional,<20000,2-3 months,Online,3456.5399,Casual,0,0,0,1,0,1,1,1,0,0,0,Low,Brand,3375.523,353.79303,Yes
30,Female,Working Professional,20000-50000,Rarely,Mixed,500,Trendy,0,0,0,1,1,1,1,0,1,0,1,Low,Fit,4969.7545,106.34926,Maybe
30,Female,Working Professional,100000,Monthly,Online,3873.3936,Trendy,1,1,1,0,0,1,1,1,1,0,1,Medium,Brand,6303.0775,350.62835,No
22-25,Male,Working Professional,<20000,Monthly,Mixed,3842.8232,Casual,0,1,1,0,0,0,1,1,1,1,0,High,Fit,3903.1821,339.67039,Maybe
26-30,Male,Working Professional,50000-100000,Monthly,Online,6396.7371,Casual,1,1,0,0,0,1,1,0,1,1,0,Low,Price,4686.2728,50,Yes
26-30,Male,Student,20000-50000,2-3 months,Instagram,4028.6728,Experimental,0,1,0,1,0,1,0,1,1,1,0,High,Recommendation,3192.1896,136.85958,Maybe
18-21,Male,Working Professional,20000-50000,Weekly,Online,3156.8354,Casual,1,1,0,1,1,1,1,0,0,1,0,High,Fit,2953.0141,456.58134,Yes
30,Female,Working Professional,<20000,Monthly,Online,6090.1123,Casual,1,1,0,1,1,1,0,1,1,0,0,High,Price,2666.5015,404.61137,Yes
22-25,Male,Working Professional,50000-100000,Monthly,Mixed,4241.5805,Trendy,1,0,0,0,0,1,1,1,1,0,0,Low,Brand,2341.2855,172.4409,Yes
22-25,Male,Working Professional,20000-50000,Monthly,Mixed,2499.9546,Casual,1,0,0,1,1,1,1,1,1,1,0,Low,Brand,3410.6148,144.77085,Yes
22-25,Male,Working Professional,20000-50000,2-3 months,Online,6309.9951,Minimal,1,1,0,0,0,0,1,1,0,0,0,Low,Brand,1719.1044,50,Yes
18-21,Male,Working Professional,50000-100000,2-3 months,Instagram,4387.3235,Casual,1,0,0,1,1,1,0,0,1,0,1,Medium,Recommendation,2278.8363,520.69465,Yes
18-21,Female,Student,50000-100000,2-3 months,Offline,4005.8519,Experimental,1,1,1,0,0,1,0,1,0,0,1,High,Trend,733.05058,306.15816,Yes
26-30,Male,Working Professional,100000,2-3 months,Mixed,4355.8168,Formal,0,1,0,1,1,1,1,0,1,1,1,Low,Fit,3212.39,582.55861,Yes
18-21,Female,Working Professional,20000-50000,Monthly,Online,1858.6633,Trendy,1,1,0,1,0,1,1,1,1,0,0,Medium,Trend,1061.3537,271.24934,Yes
26-30,Female,Student,20000-50000,Monthly,Offline,2944.6924,Minimal,0,1,0,1,1,0,0,1,0,1,0,High,Brand,2550.6175,342.38839,No
18-21,Female,Student,100000,Monthly,Online,4007.1652,Formal,1,1,0,0,1,1,1,1,0,1,1,High,Recommendation,3250.7366,433.69477,Yes
22-25,Non-binary,Working Professional,50000-100000,Weekly,Online,3610.6726,Minimal,1,1,1,0,0,1,1,1,1,0,1,High,Price,3378.8371,545.8264,Yes
22-25,Male,Working Professional,20000-50000,Monthly,Mixed,6544.8568,Trendy,0,1,0,1,1,1,0,1,0,0,1,Low,Recommendation,3657.2628,375.15325,Maybe
22-25,Male,Student,<20000,2-3 months,Online,4434.8117,Experimental,0,0,1,1,0,1,1,0,1,1,1,High,Trend,2180.0627,300.36108,Yes
26-30,Male,Self-employed,50000-100000,Monthly,Online,5709.8078,Trendy,0,0,0,1,1,1,1,0,1,1,1,High,Brand,3229.0957,304.19365,Yes
22-25,Female,Working Professional,20000-50000,2-3 months,Offline,4018.7907,Minimal,1,1,1,0,0,1,1,0,0,1,1,Medium,Fit,1770.0621,143.12466,Yes
22-25,Male,Self-employed,50000-100000,Monthly,Offline,6112.577,Minimal,1,1,0,1,1,1,1,1,1,0,0,High,Recommendation,300,242.71757,Yes
22-25,Female,Working Professional,20000-50000,Weekly,Online,4795.0555,Trendy,0,1,0,0,1,1,1,1,1,1,1,High,Trend,3295.4639,307.68292,Yes
26-30,Female,Working Professional,<20000,Weekly,Online,4026.841,Casual,1,0,0,1,0,1,1,1,1,0,0,Low,Trend,2947.7322,507.28408,Yes
30,Female,Working Professional,50000-100000,Monthly,Mixed,3973.4338,Trendy,1,0,0,0,0,1,0,1,1,1,0,High,Price,4019.9853,235.49352,Yes
26-30,Male,Working Professional,<20000,Monthly,Online,2091.1227,Experimental,0,1,1,1,0,1,1,1,1,1,1,Medium,Fit,2462.0669,459.3982,Maybe
18-21,Male,Working Professional,20000-50000,Weekly,Offline,5013.8314,Trendy,0,1,0,1,1,0,1,0,0,1,1,Medium,Trend,300,287.7243,Maybe
18-21,Female,Student,20000-50000,Monthly,Instagram,3919.5905,Formal,1,1,1,0,1,0,1,1,1,1,0,High,Fit,2362.5538,486.53378,Yes
22-25,Female,Working Professional,20000-50000,Monthly,Online,8988.0482,Casual,0,1,0,0,0,1,1,0,1,1,1,Medium,Brand,7659.7417,401.50837,Maybe
22-25,Male,Student,50000-100000,Monthly,Mixed,6212.9235,Formal,0,1,0,1,0,0,0,1,1,0,0,High,Recommendation,3214.0522,391.3793,No
18-21,Female,Student,50000-100000,2-3 months,Instagram,1499.5679,Trendy,1,1,0,0,1,1,1,1,0,1,0,High,Trend,2279.8831,446.824,Yes
22-25,Male,Student,50000-100000,2-3 months,Online,3155.0082,Casual,1,0,1,0,0,0,1,1,1,1,1,High,Brand,300,424.97399,Yes
22-25,Non-binary,Student,<20000,Monthly,Offline,6055.4375,Formal,1,1,0,0,1,0,1,1,1,0,1,High,Price,960.97457,459.57201,Yes
22-25,Female,Self-employed,<20000,2-3 months,Offline,4631.0459,Formal,1,1,0,1,0,0,0,1,1,1,0,Medium,Fit,3215.8583,619.76459,Maybe
26-30,Female,Student,20000-50000,2-3 months,Offline,3904.2821,Casual,1,1,0,1,0,1,1,1,1,1,1,High,Brand,300,542.53421,Yes
18-21,Male,Working Professional,100000,2-3 months,Mixed,4502.0071,Casual,1,1,1,0,1,1,1,0,1,1,0,High,Fit,2022.6326,369.96364,Yes
18-21,Male,Working Professional,50000-100000,Monthly,Online,4358.8283,Minimal,0,0,1,1,0,0,1,0,1,0,1,Low,Fit,2557.6333,233.73797,No
26-30,Female,Working Professional,50000-100000,Weekly,Online,966.67491,Casual,0,1,0,0,1,1,1,1,1,0,1,High,Trend,4224.9057,354.96267,Maybe
22-25,Non-binary,Student,20000-50000,2-3 months,Online,3301.4762,Trendy,1,0,0,1,0,1,0,1,1,1,1,High,Fit,3421.7358,50,Yes
26-30,Female,Working Professional,20000-50000,Monthly,Online,7233.0433,Experimental,0,0,0,1,0,1,1,1,0,0,1,Medium,Brand,3944.2168,424.34799,Yes
22-25,Female,Working Professional,20000-50000,Rarely,Online,2681.3517,Minimal,0,1,0,1,1,0,1,1,1,1,0,Low,Price,2952.78,140.99502,No
18-21,Male,Working Professional,<20000,2-3 months,Mixed,3363.398,Casual,1,0,1,1,0,1,0,1,1,1,0,High,Trend,1231.8835,468.37219,Yes
26-30,Male,Working Professional,<20000,Monthly,Offline,2916.7585,Experimental,0,1,0,1,0,1,0,1,1,0,1,High,Recommendation,1579.5093,597.04336,No
26-30,Female,Self-employed,100000,Monthly,Offline,3825.9696,Minimal,1,0,0,0,1,1,1,0,1,1,1,High,Price,1101.0105,82.359849,Yes
26-30,Male,Working Professional,20000-50000,Monthly,Offline,2833.7543,Trendy,1,0,1,1,1,1,1,0,1,0,1,High,Brand,3386.1713,292.45434,Yes
22-25,Female,Working Professional,20000-50000,Monthly,Mixed,4973.483,Experimental,0,0,0,0,1,1,1,1,1,1,0,High,Trend,1459.1167,140.33807,Yes
22-25,Female,Working Professional,<20000,Monthly,Online,4394.6268,Casual,0,0,0,1,1,1,1,0,0,0,1,High,Fit,1908.9995,50,Yes
22-25,Female,Student,100000,Monthly,Mixed,5547.0952,Casual,1,1,0,0,0,0,1,0,0,1,1,High,Price,2533.7369,284.05175,Yes
18-21,Male,Working Professional,20000-50000,Monthly,Online,1898.1177,Trendy,1,1,0,1,0,1,1,1,0,1,0,High,Trend,4961.9687,395.27506,Yes
30,Female,Student,50000-100000,Weekly,Mixed,3319.319,Minimal,1,1,1,1,0,0,1,1,1,0,1,High,Recommendation,3485.7009,413.16006,Yes
18-21,Female,Working Professional,100000,Rarely,Offline,3548.5547,Experimental,1,0,1,0,1,1,0,1,1,1,0,Medium,Recommendation,1340.7199,323.08887,Yes
30,Female,Working Professional,20000-50000,Weekly,Online,4911.2938,Trendy,1,1,0,0,1,1,1,0,1,1,1,High,Recommendation,2727.7715,50.365192,Yes
22-25,Male,Working Professional,50000-100000,Rarely,Offline,2413.5576,Minimal,1,1,0,1,1,1,1,1,0,0,0,High,Trend,4976.9676,318.50681,Yes
18-21,Male,Working Professional,<20000,Rarely,Offline,5831.3076,Formal,1,0,0,0,1,0,1,1,1,1,0,Medium,Price,3422.769,76.117798,Yes
22-25,Male,Working Professional,<20000,Monthly,Online,6372.8312,Formal,1,1,0,0,0,0,1,1,1,1,0,High,Fit,300,85.951761,Yes
30,Female,Working Professional,50000-100000,2-3 months,Offline,2022.2553,Minimal,1,1,1,1,0,1,0,0,1,1,0,Low,Price,1127.1409,150.47702,Maybe
26-30,Male,Working Professional,50000-100000,Monthly,Online,3018.2542,Casual,1,1,0,1,0,1,0,1,0,0,1,Low,Fit,1012.0967,457.47168,Yes
26-30,Female,Working Professional,20000-50000,2-3 months,Online,2936.137,Casual,1,1,1,1,0,1,0,1,1,1,1,High,Price,4661.0947,381.7883,Maybe
26-30,Male,Student,20000-50000,Monthly,Mixed,9264.7724,Formal,1,1,1,1,0,0,1,1,0,1,1,High,Price,4384.4219,348.3886,Yes
26-30,Male,Working Professional,20000-50000,Monthly,Offline,3140.1998,Casual,1,0,1,1,0,1,0,0,1,1,0,Medium,Trend,1562.4445,170.60787,Yes
26-30,Female,Working Professional,<20000,Monthly,Mixed,7355.2509,Casual,1,1,1,1,1,0,1,1,0,0,0,High,Recommendation,1530.1297,241.83369,Yes
18-21,Male,Student,20000-50000,Monthly,Offline,1466.736,Minimal,0,1,1,0,0,1,1,1,1,1,0,Low,Recommendation,2567.0377,94.481624,Maybe
22-25,Female,Working Professional,20000-50000,Monthly,Online,2020.6981,Minimal,1,0,1,1,1,1,0,1,0,1,0,High,Recommendation,2612.0036,504.6452,Maybe
18-21,Female,Student,20000-50000,Monthly,Offline,2626.7909,Casual,0,1,1,1,0,1,1,0,1,1,0,Medium,Recommendation,1056.5111,629.5887,Maybe
30,Female,Working Professional,50000-100000,Monthly,Offline,2308.6214,Minimal,0,1,0,1,1,0,0,1,0,1,1,High,Price,2126.304,383.48976,No
30,Female,Working Professional,20000-50000,Weekly,Mixed,3464.2025,Experimental,1,1,1,1,1,1,1,0,1,0,0,High,Recommendation,319.5951,409.76313,Yes
18-21,Female,Working Professional,<20000,Weekly,Online,2582.4436,Formal,1,1,1,1,1,1,0,1,1,1,1,High,Price,4408.4811,276.15598,Maybe
26-30,Male,Student,20000-50000,Monthly,Mixed,2361.3168,Experimental,0,0,0,1,0,0,1,1,1,0,1,Medium,Fit,300,57.082145,No
30,Female,Student,100000,Weekly,Mixed,6316.944,Experimental,0,1,1,1,0,1,1,0,1,1,0,Medium,Brand,300,173.40528,Yes
18-21,Male,Student,20000-50000,Weekly,Offline,6447.5872,Casual,1,1,1,1,0,0,1,1,1,1,1,Low,Brand,3152.5592,230.19232,Yes
22-25,Female,Working Professional,<20000,2-3 months,Mixed,5898.593,Casual,1,1,1,0,0,1,1,1,1,0,0,High,Fit,644.68564,242.2116,Yes
30,Female,Working Professional,20000-50000,Weekly,Online,5047.9979,Experimental,0,1,0,0,0,1,1,0,1,0,0,Medium,Price,1748.5526,207.69096,Yes
18-21,Male,Working Professional,50000-100000,2-3 months,Mixed,4185.4861,Experimental,0,1,1,1,0,1,0,0,1,0,1,Medium,Recommendation,2594.7593,307.163,Maybe
26-30,Female,Working Professional,20000-50000,Monthly,Instagram,3005.9386,Trendy,0,1,1,1,0,1,1,0,1,0,0,Medium,Trend,3512.9512,172.47464,Yes
22-25,Female,Working Professional,50000-100000,2-3 months,Online,2093.685,Trendy,0,1,1,0,1,1,0,1,1,1,0,High,Price,2168.3768,625.15862,No
30,Male,Self-employed,100000,Monthly,Mixed,4725.9914,Formal,0,1,1,1,0,1,1,0,1,0,0,Medium,Price,5168.7577,95.193898,Yes
30,Female,Working Professional,50000-100000,Monthly,Online,1652.7392,Experimental,1,0,0,0,1,1,0,1,1,1,0,Low,Fit,2499.3415,433.09643,Maybe
30,Female,Self-employed,50000-100000,Monthly,Online,2012.1581,Minimal,0,0,0,1,0,1,0,1,1,1,1,Low,Fit,4286.1921,260.72179,No
22-25,Female,Working Professional,20000-50000,Monthly,Offline,6305.8265,Trendy,0,1,1,0,0,0,1,1,1,1,1,Medium,Trend,2917.8337,369.41971,Maybe
30,Male,Student,<20000,Monthly,Online,7801.2981,Casual,1,1,0,0,0,1,0,0,1,0,1,High,Recommendation,5696.8146,376.21723,Yes
26-30,Male,Student,100000,Weekly,Online,4786.5903,Experimental,1,1,1,0,1,1,1,1,1,1,1,Low,Brand,4087.5453,323.55648,Yes
22-25,Male,Working Professional,20000-50000,Rarely,Mixed,6212.9143,Minimal,0,1,0,1,1,1,1,0,0,1,1,Low,Recommendation,2565.2047,129.99439,Yes
26-30,Male,Student,<20000,Monthly,Online,3508.3034,Minimal,0,0,0,0,1,0,1,1,1,1,1,High,Recommendation,3443.2461,250.19404,Maybe
18-21,Female,Working Professional,50000-100000,Monthly,Online,1324.6516,Minimal,1,1,0,0,0,1,1,1,1,0,1,Low,Price,2108.7762,325.36429,Yes
22-25,Female,Working Professional,20000-50000,2-3 months,Online,5224.3432,Casual,1,1,0,0,0,1,1,0,0,1,1,Low,Trend,2093.6502,315.96508,Yes
18-21,Male,Working Professional,20000-50000,Monthly,Online,5138.5786,Trendy,1,1,0,0,0,1,1,1,1,1,0,High,Price,544.88376,146.5302,Yes
18-21,Female,Working Professional,20000-50000,2-3 months,Instagram,4143.3371,Minimal,1,0,0,0,0,1,0,1,1,0,0,Medium,Fit,1287.6076,493.68187,Maybe
18-21,Female,Student,20000-50000,Monthly,Instagram,3515.2491,Trendy,1,1,0,1,1,1,0,0,1,1,0,Medium,Brand,5591.4571,50,Yes
26-30,Female,Working Professional,50000-100000,2-3 months,Mixed,5924.4212,Formal,1,0,1,1,1,1,1,1,1,1,1,Medium,Trend,693.95294,262.48127,Yes
22-25,Female,Working Professional,20000-50000,Weekly,Offline,2028.5339,Casual,1,1,1,0,0,0,0,1,1,1,0,High,Trend,1516.7609,161.80219,No
26-30,Non-binary,Self-employed,20000-50000,2-3 months,Online,2452.4388,Trendy,0,1,0,0,1,1,1,0,1,1,1,High,Recommendation,2359.422,327.32481,Maybe
18-21,Female,Working Professional,20000-50000,2-3 months,Mixed,1983.787,Trendy,1,0,1,1,0,1,1,0,0,0,1,High,Price,2409.3861,452.50888,Yes
22-25,Female,Self-employed,50000-100000,Monthly,Instagram,4169.9459,Minimal,0,1,0,0,0,1,1,1,0,0,1,Medium,Recommendation,3075.5887,88.954648,Yes
22-25,Female,Working Professional,50000-100000,Weekly,Offline,1824.214,Minimal,0,1,0,1,0,1,0,1,1,0,1,Low,Recommendation,1796.3189,653.04078,No
26-30,Non-binary,Working Professional,20000-50000,Monthly,Offline,2631.5156,Casual,1,1,1,0,0,1,1,1,1,1,1,Medium,Trend,3168.0646,330.2773,Yes
22-25,Female,Student,50000-100000,Rarely,Mixed,2588.4889,Trendy,0,1,0,0,1,0,1,0,1,1,1,High,Brand,4213.5782,357.2586,No
26-30,Female,Working Professional,<20000,Monthly,Instagram,3478.7833,Experimental,0,0,0,0,0,1,1,0,1,1,1,Low,Fit,4399.9485,84.03685,Yes
30,Male,Working Professional,100000,Monthly,Online,1025.2511,Minimal,1,0,0,0,1,1,0,1,0,1,0,High,Recommendation,2098.7323,293.01492,Maybe
26-30,Male,Working Professional,20000-50000,Weekly,Instagram,4174.41,Minimal,1,1,1,1,0,1,1,1,1,0,1,Low,Brand,3417.0151,445.75122,Yes
18-21,Female,Working Professional,50000-100000,Monthly,Online,6494.6073,Formal,0,1,0,0,0,1,1,1,1,0,0,Medium,Recommendation,780.79957,331.48824,Yes
18-21,Female,Working Professional,<20000,Monthly,Online,4270.9827,Casual,0,1,1,1,0,1,0,0,1,1,1,Medium,Brand,1417.4259,321.02934,Maybe
30,Female,Working Professional,20000-50000,Rarely,Online,7082.6423,Trendy,0,0,0,0,1,1,1,0,0,1,0,Medium,Price,739.3999,292.22106,Yes
18-21,Female,Working Professional,20000-50000,Monthly,Online,6667.9964,Trendy,0,0,0,1,1,0,1,1,1,1,0,High,Fit,2431.383,93.299986,Maybe
30,Female,Student,100000,2-3 months,Online,5555.4701,Trendy,1,1,1,0,1,1,1,1,0,1,1,Medium,Trend,1211.1711,92.443699,Yes
22-25,Female,Working Professional,20000-50000,Monthly,Online,4149.3717,Minimal,0,1,0,0,0,1,1,0,0,1,1,High,Price,300,475.39907,Yes
30,Female,Student,100000,Weekly,Offline,4045.0008,Casual,1,0,1,1,0,1,1,0,0,1,0,Medium,Recommendation,1920.9922,432.34301,Yes
26-30,Female,Student,20000-50000,Monthly,Mixed,5527.5995,Trendy,0,1,1,0,0,1,1,1,1,1,0,Medium,Recommendation,300,454.54068,Yes
30,Male,Working Professional,20000-50000,Monthly,Mixed,3216.6588,Experimental,1,0,0,1,0,1,1,1,1,1,1,Medium,Fit,4490.7897,176.57699,Yes
22-25,Non-binary,Working Professional,<20000,Rarely,Online,500,Formal,1,1,0,1,1,1,1,0,1,1,0,Low,Fit,1663.7154,276.36484,Yes
26-30,Male,Working Professional,50000-100000,2-3 months,Offline,4984.0081,Formal,1,1,1,1,0,1,0,0,1,1,0,High,Fit,3977.9741,484.77003,Yes
22-25,Female,Student,20000-50000,Monthly,Mixed,1737.8627,Trendy,1,1,0,0,0,0,0,0,1,1,1,Medium,Recommendation,1761.8988,115.7017,No
22-25,Female,Working Professional,100000,Monthly,Online,2075.7175,Minimal,1,1,0,1,0,1,1,0,1,0,0,Low,Recommendation,707.59326,469.48236,Yes
26-30,Non-binary,Working Professional,100000,Monthly,Instagram,4000.4479,Formal,1,1,0,1,0,1,1,1,1,1,1,High,Trend,4263.286,212.02206,Yes
30,Female,Self-employed,100000,Rarely,Instagram,3809.7502,Formal,1,1,1,1,1,0,1,0,1,0,0,Low,Fit,2633.0554,171.715,Yes
30,Female,Self-employed,20000-50000,2-3 months,Online,1175.8488,Formal,0,0,1,0,1,1,1,1,1,1,0,High,Brand,5330.3639,295.21256,Maybe
26-30,Female,Working Professional,50000-100000,2-3 months,Mixed,4330.9831,Formal,0,1,1,1,1,1,1,1,1,1,1,Medium,Trend,1800.2156,132.44971,Yes
22-25,Male,Working Professional,50000-100000,Monthly,Mixed,5932.2793,Trendy,0,1,0,1,1,1,0,1,1,1,1,Low,Brand,1832.6046,50,Maybe
22-25,Male,Working Professional,<20000,Monthly,Online,1743.3169,Casual,0,0,1,1,0,1,0,1,1,0,1,Low,Price,4007.1863,311.40445,No
26-30,Female,Student,50000-100000,Monthly,Online,6544.9667,Casual,1,1,0,1,1,0,0,0,1,1,1,High,Fit,4017.629,380.13987,Maybe
18-21,Female,Working Professional,<20000,Monthly,Online,879.65835,Minimal,1,1,0,1,0,1,0,0,0,1,0,High,Trend,2730.1456,482.29353,Maybe
18-21,Non-binary,Working Professional,20000-50000,Monthly,Online,8234.6483,Experimental,1,1,1,0,1,1,1,1,0,1,0,Low,Trend,7502.9023,391.04621,Yes
22-25,Female,Self-employed,<20000,Weekly,Offline,3177.4791,Casual,0,0,1,1,1,1,1,1,1,0,1,Low,Price,2079.1588,594.80958,Yes
22-25,Male,Student,<20000,Weekly,Offline,4291.234,Experimental,0,1,1,1,1,1,0,1,0,1,0,Medium,Price,595.80514,504.16125,Yes
22-25,Male,Working Professional,20000-50000,2-3 months,Online,500,Casual,0,0,0,0,0,0,1,0,0,1,0,High,Price,996.16744,410.71181,No
18-21,Male,Working Professional,20000-50000,2-3 months,Mixed,3875.7279,Casual,1,1,1,1,1,1,1,1,1,1,0,Medium,Trend,2087.8908,370.29282,Yes
18-21,Female,Working Professional,50000-100000,Monthly,Online,4456.9644,Minimal,1,1,1,1,1,1,1,0,1,0,0,High,Recommendation,4778.1625,484.51533,Yes
18-21,Female,Student,<20000,Monthly,Online,3827.6758,Formal,0,1,0,0,1,1,1,0,1,1,0,Low,Brand,2220.4842,50,Maybe
30,Female,Self-employed,20000-50000,Monthly,Online,2873.8378,Minimal,1,1,0,0,0,1,0,1,1,0,0,Medium,Brand,4849.0781,227.99144,Maybe
22-25,Male,Working Professional,<20000,2-3 months,Offline,2106.871,Casual,1,1,0,1,0,1,1,1,0,0,1,Medium,Price,3151.6377,50,Yes
22-25,Male,Working Professional,20000-50000,2-3 months,Online,6261.0532,Formal,1,0,0,1,0,1,0,1,0,0,0,High,Recommendation,4125.0539,399.46464,Yes
26-30,Female,Student,50000-100000,2-3 months,Online,4061.6143,Formal,0,1,1,1,0,1,1,0,0,1,1,Medium,Recommendation,3080.7529,188.58542,Yes
